"","X.3","X.2","X.1","X","Prop_ID","Name","Address","DogRuns_Type","Accessible","Notes","plot_name","lon","lat","Zipcode","Borough"
"64",64,95,95,95,"Q010A","Little Bay Park Dog Run","North side of the Cross Island Parkway & Utopia Parkway","Run","N","","Little Bay Park , New York ",-73.7889647,40.7897211,"11357","Queens"
"65",65,96,96,96,"Q009","MacNeil Park Off-Leash Area","Mainly zone #1","Off-Leash","N","","MacNeil Park , New York ",-73.8521593,40.7926994,"11356","Queens"
"66",66,97,97,97,"Q141","Murray Playground Dog Run","21st Street & 45th Road (southeastern side of the park)","Run","N","","Murray Playground , New York ",-73.9482661,40.7471007,"11101","Queens"
"67",67,98,98,98,"Q104","Queensbridge Park Off-Leash Area","","Off-Leash","N","","Queensbridge Park , New York ",-73.9484021,40.7566953,"11101","Queens"
"68",68,99,99,99,"Q048","Rainey Park Off-Leash Area","","Off-Leash","N","","Rainey Park , New York ",-73.9407026,40.7661129,"11106","Queens"
"69",69,100,100,100,"Q004A","Ralph DeMarco Park Off-Leash Area","","Off-Leash","N","","Ralph DeMarco Park , New York ",-73.9174816,40.7840851,"11105","Queens"
"70",70,101,101,101,"Q371","Rockaway Community Park Off-Leash Area","Almeda Avenue between Beach 51st Street and Beach 54th Street","Off-Leash","N","","Rockaway Community Park , New York ",-73.7850751,40.5991285,"11691","Queens"
"71",71,102,102,102,"Q219","Rockaway Freeway Dog Park","Rockaway Freeway and Beach 84th Street","Run","N","","Rockaway Freeway Dog Park , New York ",-73.8089017,40.591178,"11693","Queens"
"72",72,103,103,103,"Q341C","Sherry Park Dog Run","Queens Boulevard, 65 Place, and the Brooklyn-Queens Expressway","Run","N","","Sherry Park , New York ",-73.8988414,40.7412998,"11377","Queens"
"73",73,104,104,104,"Q107","Springfield Park Off-Leash Area","","Off-Leash","N","","Springfield Park , New York ",-73.7612001,40.6629975,"11413","Queens"
"74",74,105,105,105,"Q451","Underbridge Playground Dog Run","64th Avenue/64th Road on Grand Central Parkway service road","Run","N","","Underbridge Playground , New York ",-73.8452055,40.7338949,"11375","Queens"
"75",75,106,106,106,"Q013","Veteran's Grove Dog Run","Judge Street & Whitney Avenue (south side of Park)","Run","N","","Veteran's Grove , New York ",-73.8775703,40.7426611,"11373","Queens"
"76",76,107,107,107,"Q031A","Windmuller Park Dog Run (Doughboy Plaza)","Woodside Avenue, 54-56 streets","Run","N","","Windmuller Park (Doughboy Plaza) , New York ",-73.908982,40.7465581,"11377","Queens"
"77",77,108,108,108,"Q425","Yellowstone Park Off-Leash Area","Sitting area located at 68 Road and Yellowstone Boulevard.  ","Off-Leash","N","Hours: 6:00 a.m. to 9:00 a.m. only ","Yellowstone Park , New York ",-73.8476036,40.7263749,"11375","Queens"
"78",78,113,113,113,"R027","Cozzens Woods Park Off-Leash Area","Page Avenue between Hylan Boulevard & Amboy Road","Off-Leash","N","","Cozzens Woods Park , New York ",-73.9653551,40.7828647,"United States","None"
"79",79,115,115,115,"R121","Evergreen Park Off-Leash Area","Greaves Avenue & Evergreen Street","Off-Leash","N","","Evergreen Park , New York ",-73.8967115,40.6976039,"11385","Queens"
"80",80,118,118,118,"R022","Silver Lake Park Dog Run","Victory Boulevard below the pavilion, across from the Parkview Apartments","Run","N","","Silver Lake Park , New York ",-74.0916944,40.6245495,"United States","None"
"81",81,130,130,130,"B012","Brower Park","St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.","Off-Leash","N","Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.","Brower Park , New York ",-73.943234,40.673499,"11213","Brooklyn"
